timepoint,ROI,subject,BOLD signal
0.0,IPS,0,0.5134331027255622
0.0,IPS,1,-0.41436804607569605
0.0,IPS,2,0.21469532671963512
0.0,IPS,3,0.8148087458868558
0.0,IPS,4,-0.8949922301721369
0.0,IPS,5,-0.07370934901307967
0.0,IPS,6,3.542734475413466
0.0,IPS,7,0.08016907575441545
0.0,IPS,8,1.5470826945325733
0.0,IPS,9,2.827153000390555
0.0,IPS,10,2.6113583591733467
0.0,IPS,11,-0.3131321350194033
0.0,IPS,12,3.773420955684738
0.0,IPS,13,4.82991474032282
0.0,IPS,14,2.891339575837521
0.0,IPS,15,-0.736697602085396
0.0,IPS,16,3.3169861395152833
0.0,IPS,17,3.77142553051872
0.0,IPS,18,1.308108715442583
0.0,IPS,19,-0.9051716377771052
0.0,AG,0,1.0483690653634063
0.0,AG,1,0.980156108994631
0.0,AG,2,2.817243817877357
0.0,AG,3,0.7371128874092425
0.0,AG,4,2.203094497215115
0.0,AG,5,0.4121313898814116
0.0,AG,6,1.8992587282397373
0.0,AG,7,0.905484796656398
0.0,AG,8,-0.3550295028293755
0.0,AG,9,-1.6957586713412591
0.0,AG,10,-1.084440967679713
0.0,AG,11,0.935800471829306
0.0,AG,12,0.08561520822146082
0.0,AG,13,-1.0745526432251271
0.0,AG,14,1.4288169781130209
0.0,AG,15,0.5445830767520106
0.0,AG,16,2.72219977985527
0.0,AG,17,-0.4709778719852719
0.0,AG,18,0.9152089923533531
0.0,AG,19,1.3916790162966497
0.0,V1,0,1.8202012195893096
0.0,V1,1,0.25719899584859235
0.0,V1,2,1.9460455848654217
0.0,V1,3,3.507984359261221
0.0,V1,4,2.4864416742084354
0.0,V1,5,-1.5340446381771708
0.0,V1,6,0.8569754726729291
0.0,V1,7,-1.0486713046689329
0.0,V1,8,2.4847724625621384
0.0,V1,9,-0.6736054789265489
0.0,V1,10,-0.3408223994977652
0.0,V1,11,2.9081605950171965
0.0,V1,12,2.992470041542188
0.0,V1,13,-0.324952711003208
0.0,V1,14,2.36043984846849
0.0,V1,15,0.6992003934300172
0.0,V1,16,1.4580053879916497
0.0,V1,17,1.993810664572654
0.0,V1,18,1.2013641583721435
0.0,V1,19,0.5823770652720677
0.101010101010101,IPS,0,0.4673192417779404
0.101010101010101,IPS,1,-0.4604819070233177
0.101010101010101,IPS,2,0.16858146577201333
