date,delay,destination,distance,origin
2001-02-14 15:12:00,8,SNA,342,SJC
2001-01-22 09:50:00,-10,RNO,601,PHX
2001-01-17 10:59:00,4,OKC,181,DAL
2001-01-14 16:20:00,4,SLC,630,PDX
2001-03-14 10:50:00,-3,LAS,223,BUR
2001-02-09 07:00:00,0,AUS,928,TPA
2001-02-14 09:10:00,23,SAN,1751,BNA
2001-03-09 14:25:00,145,LAS,197,ONT
2001-03-31 17:10:00,0,MCI,223,TUL
2001-03-06 20:10:00,8,BUR,296,SJC
2001-01-21 10:35:00,0,SEA,224,GEG
2001-03-04 07:10:00,-6,ISP,803,BNA
2001-01-01 12:55:00,5,BNA,1751,ONT
2001-01-12 15:17:00,10,BNA,1588,LAS
2001-01-09 19:05:00,9,BWI,663,JAX
2001-02-28 15:21:00,19,LIT,296,DAL
2001-01-01 17:25:00,14,JAN,359,HOU
2001-03-11 10:40:00,-10,STL,440,DTW
2001-01-26 21:40:00,52,ABQ,328,PHX
2001-03-02 13:25:00,-15,LAX,677,ABQ
2001-02-05 16:35:00,0,ABQ,580,DAL
2001-01-08 19:25:00,-5,DAL,181,OKC
2001-03-04 10:30:00,-7,BWI,588,BNA
2001-01-03 18:40:00,-20,HOU,687,STL
2001-02-25 06:45:00,-3,FLL,178,MCO
2001-02-09 06:55:00,-4,HOU,187,CRP
2001-01-24 11:20:00,-7,BNA,457,DTW
2001-02-16 17:36:00,-5,BWI,588,BNA
2001-02-17 14:10:00,2,FLL,1166,MDW
2001-03-12 08:25:00,-10,AUS,872,PHX
2001-01-16 21:15:00,10,IND,515,BWI
2001-03-10 18:40:00,-7,LBB,293,DAL
2001-03-13 11:35:00,-10,SMF,397,LAS
2001-01-18 15:17:00,23,MCI,1044,PHX
2001-01-28 14:34:00,12,BHM,177,BNA
2001-02-28 10:50:00,63,PHX,325,ONT
2001-03-04 19:32:00,42,LAS,258,SAN
2001-03-17 07:00:00,-10,MCI,313,OKC
2001-03-31 14:35:00,-9,SMF,389,ONT
