count,job,perc,sex,year
708,Accountant / Auditor,0.000130960700321,men,1850
1805,Accountant / Auditor,0.00021400369011100002,men,1860
1310,Accountant / Auditor,9.9778818541e-05,men,1870
2295,Accountant / Auditor,0.000125359945547,men,1880
11753,Accountant / Auditor,0.00039586024425700004,men,1900
0,Accountant / Auditor,0.0,men,1910
111209,Accountant / Auditor,0.002648560867779,men,1920
181482,Accountant / Auditor,0.0037242221329140002,men,1930
0,Accountant / Auditor,0.0,men,1940
330352,Accountant / Auditor,0.005438706169022,men,1950
425002,Accountant / Auditor,0.004890279670211,men,1960
575667,Accountant / Auditor,0.00526869370494,men,1970
661606,Accountant / Auditor,0.0051485711156040006,men,1980
814842,Accountant / Auditor,0.005464129280321001,men,1990
866460,Accountant / Auditor,0.005153746569321001,men,2000
0,Accountant / Auditor,0.0,women,1850
0,Accountant / Auditor,0.0,women,1860
0,Accountant / Auditor,0.0,women,1870
0,Accountant / Auditor,0.0,women,1880
807,Accountant / Auditor,2.7181078628e-05,women,1900
0,Accountant / Auditor,0.0,women,1910
15746,Accountant / Auditor,0.00037500777296800005,women,1920
14657,Accountant / Auditor,0.000300778720766,women,1930
0,Accountant / Auditor,0.0,women,1940
56117,Accountant / Auditor,0.0009238747580970001,women,1950
112853,Accountant / Auditor,0.0012985414930330001,women,1960
248441,Accountant / Auditor,0.0022738137373670003,women,1970
452783,Accountant / Auditor,0.0035235252936590003,women,1980
949683,Accountant / Auditor,0.006368339736198001,women,1990
1217596,Accountant / Auditor,0.007242320716270001,women,2000
506,Actor,9.359620672700001e-05,men,1850
401,Actor,4.7543202069e-05,men,1860
1507,Actor,0.00011478372484000001,men,1870
3983,Actor,0.000217563687631,men,1880
10449,Actor,0.00035193939353700003,men,1900
15867,Actor,0.00040758919940700006,men,1910
14020,Actor,0.000333901243301,men,1920
28815,Actor,0.000591317380015,men,1930
12428,Actor,0.000238856332509,men,1940
10678,Actor,0.00017579583133300002,men,1950
10461,Actor,0.000120369352685,men,1960
11726,Actor,0.00010732020835600001,men,1970
0,Actor,0.0,men,1980
0,Actor,0.0,men,1990
29975,Actor,0.000178292769909,men,2000
0,Actor,0.0,women,1850
100,Actor,1.1856160116e-05,women,1860
200,Actor,1.5233407410000001e-05,women,1870
1994,Actor,0.00010891840149000001,women,1880
6736,Actor,0.00022687948654100001,women,1900
14106,Actor,0.00036235288629500004,women,1910
11001,Actor,0.00026200054048100004,women,1920
19210,Actor,0.00039421158667600004,women,1930
8750,Actor,0.000168168080902,women,1940
7067,Actor,0.00011634661360100001,women,1950
8069,Actor,9.284583757e-05,women,1960
11127,Actor,0.000101837963362,women,1970
0,Actor,0.0,women,1980
0,Actor,0.0,women,1990
25931,Actor,0.00015423885960000002,women,2000
0,Advertising Agent,0.0,men,1850
0,Advertising Agent,0.0,men,1860
703,Advertising Agent,5.354542704900001e-05,men,1870
499,Advertising Agent,2.7256911907000003e-05,men,1880
4526,Advertising Agent,0.00015244307542800002,men,1900
0,Advertising Agent,0.0,men,1910
15437,Advertising Agent,0.000367648608618,men,1920
37913,Advertising Agent,0.000778018942513,men,1930
33554,Advertising Agent,0.0006448813470400001,men,1940
26603,Advertising Agent,0.000437974948583,men,1950
32275,Advertising Agent,0.00037137184379300005,men,1960
53993,Advertising Agent,0.000494161692803,men,1970
72865,Advertising Agent,0.00056703027835,men,1980
94797,Advertising Agent,0.000635685278111,men,1990
114250,Advertising Agent,0.000679564602572,men,2000
0,Advertising Agent,0.0,women,1850
0,Advertising Agent,0.0,women,1860
0,Advertising Agent,0.0,women,1870
0,Advertising Agent,0.0,women,1880
0,Advertising Agent,0.0,women,1900
0,Advertising Agent,0.0,women,1910
1414,Advertising Agent,3.3675917120000005e-05,women,1920
4043,Advertising Agent,8.2967071573e-05,women,1930
4883,Advertising Agent,9.3847398748e-05,women,1940
4219,Advertising Agent,6.9458944783e-05,women,1950
8669,Advertising Agent,9.9749729321e-05,women,1960
19544,Advertising Agent,0.00017887311548,women,1970
58594,Advertising Agent,0.00045597436532800005,women,1980
104742,Advertising Agent,0.0007023739928470001,women,1990
132581,Advertising Agent,0.000788598289485,women,2000
2528,Agent,0.00046761108815300003,men,1850
4610,Agent,0.000546568981392,men,1860
5930,Agent,0.00045167052973100005,men,1870
20657,Agent,0.0011283487560660001,men,1880
19299,Agent,0.000650021854328,men,1900
52647,Agent,0.0013523885158640001,men,1910
30365,Agent,0.0007231748397170001,men,1920
54081,Agent,0.001109805144147,men,1930
92566,Agent,0.001779045323065,men,1940
115523,Agent,0.0019018975297980002,men,1950
146745,Agent,0.0016885193250970002,men,1960
23236,Agent,0.000212663513677,men,1970
0,Agent,0.0,men,1980
0,Agent,0.0,men,1990
0,Agent,0.0,men,2000
0,Agent,0.0,women,1850
200,Agent,2.3712320233e-05,women,1860
0,Agent,0.0,women,1870
498,Agent,2.7202288837e-05,women,1880
906,Agent,3.0515560392e-05,women,1900
2016,Agent,5.1786716203000005e-05,women,1910
3632,Agent,8.6499951188e-05,women,1920
5562,Agent,0.000114138721764,women,1930
12692,Agent,0.00024393020375000003,women,1940
23172,Agent,0.00038148913688600003,women,1950
46524,Agent,0.000535327766403,women,1960
1102,Agent,1.0085866417000002e-05,women,1970
0,Agent,0.0,women,1980
0,Agent,0.0,women,1990
0,Agent,0.0,women,2000
3134,Apprentice,0.0005797045689370001,men,1850
22765,Apprentice,0.002699054850627,men,1860
24010,Apprentice,0.0018287705596730002,men,1870
20449,Apprentice,0.001116987157515,men,1880
17486,Apprentice,0.000588957051908,men,1900
70527,Apprentice,0.0018116873679090001,men,1910
17761,Apprentice,0.00042299714566800006,men,1920
17699,Apprentice,0.000363204105809,men,1930
39638,Apprentice,0.000761811016093,men,1940
30590,Apprentice,0.0005036143922550001,men,1950
21110,Apprentice,0.00024290192478600001,men,1960
16425,Apprentice,0.000150327001727,men,1970
4442,Apprentice,3.4567329944e-05,men,1980
1865,Apprentice,1.250622956e-05,men,1990
0,Apprentice,0.0,men,2000
101,Apprentice,1.8682246797e-05,women,1850
1107,Apprentice,0.00013124769249400002,women,1860
4116,Apprentice,0.00031350352451500003,women,1870
5585,Apprentice,0.00030506984570000004,women,1880
5026,Apprentice,0.000169283892422,women,1900
8568,Apprentice,0.00022009354386600001,women,1910
3428,Apprentice,8.1641473754e-05,women,1920
1517,Apprentice,3.1130607859e-05,women,1930
3081,Apprentice,5.9214383686000004e-05,women,1940
1072,Apprentice,1.7648729274000002e-05,women,1950
2492,Apprentice,2.8674163740000003e-05,women,1960
1103,Apprentice,1.0095018746e-05,women,1970
1622,Apprentice,1.2622289322000001e-05,women,1980
405,Apprentice,2.715830011e-06,women,1990
0,Apprentice,0.0,women,2000
0,Apprentice - Auto Mechanic,0.0,men,1850
0,Apprentice - Auto Mechanic,0.0,men,1860
0,Apprentice - Auto Mechanic,0.0,men,1870
0,Apprentice - Auto Mechanic,0.0,men,1880
0,Apprentice - Auto Mechanic,0.0,men,1900
0,Apprentice - Auto Mechanic,0.0,men,1910
3532,Apprentice - Auto Mechanic,8.411834460300001e-05,men,1920
506,Apprentice - Auto Mechanic,1.0383709675000002e-05,men,1930
0,Apprentice - Auto Mechanic,0.0,men,1940
5955,Apprentice - Auto Mechanic,9.803934965200001e-05,men,1950
2093,Apprentice - Auto Mechanic,2.4083075726e-05,men,1960
4106,Apprentice - Auto Mechanic,3.7579462349e-05,men,1970
3961,Apprentice - Auto Mechanic,3.0824221952e-05,men,1980
1800,Apprentice - Auto Mechanic,1.2070355608000001e-05,men,1990
0,Apprentice - Auto Mechanic,0.0,men,2000
0,Apprentice - Auto Mechanic,0.0,women,1850
0,Apprentice - Auto Mechanic,0.0,women,1860
0,Apprentice - Auto Mechanic,0.0,women,1870
0,Apprentice - Auto Mechanic,0.0,women,1880
0,Apprentice - Auto Mechanic,0.0,women,1900
0,Apprentice - Auto Mechanic,0.0,women,1910
0,Apprentice - Auto Mechanic,0.0,women,1920
506,Apprentice - Auto Mechanic,1.0383709675000002e-05,women,1930
0,Apprentice - Auto Mechanic,0.0,women,1940
1074,Apprentice - Auto Mechanic,1.7681656007000002e-05,women,1950
0,Apprentice - Auto Mechanic,0.0,women,1960
100,Apprentice - Auto Mechanic,9.152328872317398e-07,women,1970
120,Apprentice - Auto Mechanic,9.338315158455877e-07,women,1980
51,Apprentice - Auto Mechanic,3.41993408901851e-07,women,1990
0,Apprentice - Auto Mechanic,0.0,women,2000
0,Apprentice - Bricklayer,0.0,men,1850
1204,Apprentice - Bricklayer,0.00014274816780800002,men,1860
3320,Apprentice - Bricklayer,0.00025287456302,men,1870
699,Apprentice - Bricklayer,3.8181525898000006e-05,men,1880
1004,Apprentice - Bricklayer,3.3816360523e-05,men,1900
0,Apprentice - Bricklayer,0.0,men,1910
