date,delay,destination,distance,origin
2001-01-10 18:20:00,25,HOU,192,SAT
2001-01-31 16:45:00,17,OAK,371,SNA
2001-02-16 12:07:00,21,SAN,417,SJC
2001-02-03 17:00:00,-5,SAN,480,SMF
2001-01-02 12:16:00,5,PHX,833,OKC
2001-01-02 10:12:00,5,RNO,601,PHX
2001-02-27 21:35:00,10,STL,462,OKC
2001-01-16 12:33:00,8,SDF,323,BHM
2001-03-26 21:20:00,65,OMA,423,MDW
2001-03-30 15:42:00,9,DAL,237,TUL
2001-03-23 14:55:00,-3,DAL,437,MSY
2001-01-05 08:28:00,3,SJC,386,LAS
2001-02-01 21:38:00,27,RNO,188,SJC
2001-03-20 09:30:00,-10,BWI,281,BUF
2001-01-21 10:50:00,-5,MDW,229,DTW
2001-02-07 08:30:00,0,SAN,417,SJC
2001-03-31 08:10:00,-5,HOU,276,HRL
2001-01-25 06:45:00,0,FLL,178,MCO
2001-02-10 20:27:00,0,SEA,564,RNO
2001-01-31 20:20:00,-10,BHM,321,MSY
2001-01-17 19:47:00,4,PDX,444,RNO
2001-03-25 20:45:00,-7,SLC,588,OAK
2001-03-12 07:05:00,6,BHM,365,JAX
2001-01-06 17:25:00,-12,BNA,491,MCI
2001-02-02 17:45:00,28,BOI,520,LAS
2001-02-07 09:55:00,-7,TUS,365,LAS
2001-03-06 11:35:00,9,OAK,446,SAN
2001-01-28 14:10:00,8,OAK,371,SNA
2001-02-25 17:50:00,93,LAX,1797,BNA
2001-03-02 19:25:00,0,SLC,1156,STL
2001-03-26 14:00:00,-7,ONT,361,OAK
2001-03-22 20:10:00,-7,MCI,405,MDW
2001-01-10 08:45:00,2,BWI,925,FLL
2001-02-16 18:20:00,86,LAX,370,PHX
2001-02-04 18:45:00,-2,RNO,180,OAK
2001-01-11 19:25:00,14,CMH,829,TPA
2001-01-12 23:23:00,149,ONT,197,LAS
2001-03-08 14:22:00,5,FLL,318,JAX
2001-02-19 08:50:00,-5,BDL,777,MDW
2001-01-19 08:25:00,-14,MDW,937,HOU
2001-02-04 15:15:00,-4,LAS,236,LAX
2001-02-18 11:50:00,0,ISP,220,BWI
2001-03-03 14:45:00,0,DAL,189,AUS
2001-01-02 09:40:00,0,LAX,370,PHX
2001-01-22 06:15:00,-7,DAL,562,ELP
2001-03-06 06:40:00,5,LAS,197,ONT
2001-01-27 07:50:00,-5,TPA,174,PBI
2001-03-01 16:05:00,11,ABQ,328,PHX
2001-03-30 06:30:00,-7,STL,237,MCI
2001-02-02 22:51:00,-8,LAX,236,LAS
2001-01-28 11:05:00,12,MDW,611,BWI
2001-02-12 21:15:00,10,SAT,192,HOU
2001-03-23 16:50:00,0,MAF,441,HOU
2001-01-05 06:25:00,6,OAK,361,ONT
2001-03-10 08:15:00,0,MCI,405,MDW
2001-02-27 06:25:00,2,PHX,328,ABQ
2001-01-28 08:15:00,0,MDW,162,IND
2001-01-03 17:15:00,22,ONT,197,LAS
2001-03-25 20:08:00,14,TUL,351,STL
2001-01-09 11:20:00,0,RNO,444,PDX
2001-01-15 14:53:00,18,SJC,417,SAN
2001-03-11 15:59:00,19,ELP,347,PHX
2001-01-31 19:45:00,3,SAN,446,OAK
2001-01-10 11:44:00,6,MCO,1040,SAT
2001-03-06 10:00:00,-5,SMF,397,LAS
2001-01-28 15:15:00,40,MHT,938,BNA
2001-03-12 16:35:00,10,PHX,325,ONT
2001-02-14 16:35:00,-7,ABQ,1552,MCO
2001-02-14 13:40:00,5,MAF,319,DAL
2001-03-12 12:30:00,-5,DAL,239,HOU
2001-01-12 17:29:00,9,DAL,189,AUS
2001-03-14 09:50:00,7,BNA,1588,LAS
2001-01-25 19:45:00,-10,STL,487,CLE
2001-03-16 08:56:00,0,LAS,236,LAX
2001-02-02 19:55:00,-11,BWI,377,MHT
2001-03-17 09:40:00,5,DAL,324,AMA
2001-01-01 18:44:00,0,LAS,258,SAN
2001-01-02 18:21:00,32,ISP,765,MDW
2001-03-29 10:45:00,-7,HOU,453,TUL
2001-03-16 18:09:00,25,ABQ,677,LAX
2001-02-11 08:45:00,-7,MCI,313,OKC
2001-01-15 18:45:00,3,MDW,405,MCI
2001-02-04 17:37:00,42,MSY,321,BHM
2001-01-27 17:35:00,95,PHX,507,SLC
2001-01-08 09:00:00,-4,AUS,189,DAL
2001-01-07 18:35:00,0,HOU,670,BNA
2001-01-07 10:00:00,-11,LAX,677,ABQ
2001-03-24 08:20:00,0,DAL,562,ELP
2001-01-21 19:43:00,9,SJC,417,SAN
2001-03-27 14:25:00,-16,OAK,646,PHX
2001-02-14 19:25:00,25,BNA,471,MSY
2001-02-02 08:25:00,7,BWI,328,PVD
2001-02-04 20:20:00,22,SJC,342,SNA
2001-02-07 16:04:00,-12,PVD,2277,PHX
2001-01-06 10:30:00,0,RNO,564,SEA
2001-03-23 10:45:00,-4,GEG,287,BOI
2001-03-28 17:20:00,2,TPA,174,PBI
2001-03-12 18:13:00,8,ONT,389,SMF
2001-02-07 10:05:00,-2,LAX,308,SJC
2001-02-21 17:20:00,0,RNO,390,LAX
2001-01-06 14:00:00,-7,ONT,361,OAK
2001-03-11 20:53:00,36,MDW,229,DTW
2001-03-21 14:39:00,20,BWI,1246,HOU
2001-03-13 14:22:00,111,STL,869,TPA
2001-01-25 20:20:00,40,LAS,258,SAN
2001-01-14 15:30:00,-2,BWI,220,ISP
2001-02-13 10:00:00,5,ABQ,1670,BWI
2001-02-22 10:10:00,6,BWI,220,ISP
2001-02-14 08:03:00,0,MSY,321,BHM
2001-03-04 09:00:00,-5,HOU,239,DAL
2001-02-28 06:45:00,2,FLL,178,MCO
2001-02-21 15:39:00,31,RNO,188,SJC
2001-01-05 16:31:00,74,BUR,325,OAK
2001-03-07 14:51:00,17,MSY,303,HOU
2001-01-13 09:05:00,-13,MSY,487,TPA
2001-02-16 07:55:00,8,ABQ,718,MCI
2001-02-06 07:45:00,-4,CRP,187,HOU
2001-03-25 13:45:00,19,SJC,417,SAN
2001-02-18 18:58:00,22,MCI,1363,LAX
2001-02-14 15:50:00,35,BUR,223,LAS
2001-03-02 21:33:00,67,JAN,359,HOU
2001-01-21 11:15:00,-14,DAL,458,HRL
2001-02-27 10:25:00,27,PHX,1037,OMA
2001-01-31 11:16:00,0,AUS,341,LBB
2001-01-28 13:20:00,0,OAK,671,SEA
2001-01-08 16:20:00,0,HOU,187,CRP
2001-03-17 11:00:00,-1,LAX,337,OAK
2001-01-11 17:15:00,-1,AUS,189,DAL
2001-03-17 09:00:00,0,LIT,544,MDW
2001-02-21 16:55:00,-11,SFO,651,PHX
2001-01-27 17:50:00,-3,TPA,842,BWI
2001-03-23 15:55:00,3,SNA,371,OAK
2001-02-03 07:00:00,0,LAX,370,PHX
2001-03-04 22:09:00,25,PHX,621,SJC
2001-03-29 13:05:00,0,PHX,328,ABQ
2001-03-25 08:20:00,-2,RNO,188,SJC
2001-02-07 07:40:00,3,MCI,904,RDU
2001-01-28 18:15:00,-5,MDW,251,STL
2001-02-09 08:49:00,11,BUR,325,OAK
2001-03-28 07:05:00,39,LAS,256,PHX
2001-02-17 15:15:00,-5,SMF,480,SAN
2001-03-23 06:30:00,-1,OKC,181,DAL
2001-02-02 11:55:00,-19,ISP,972,MCO
2001-01-28 09:05:00,-3,ELP,528,AUS
2001-01-23 14:05:00,-11,STL,254,SDF
2001-03-06 21:39:00,21,LAS,407,OAK
2001-02-20 08:25:00,-8,CLE,448,BNA
2001-02-25 12:20:00,-9,SAT,496,ELP
2001-02-18 16:05:00,5,LAS,407,OAK
2001-03-04 08:45:00,-5,LAS,1235,HOU
2001-02-02 14:12:00,0,HOU,303,MSY
2001-03-19 20:15:00,-20,LAS,1069,SAT
2001-03-08 15:50:00,5,CLE,307,MDW
2001-02-21 21:40:00,-6,PHX,328,ABQ
2001-02-14 20:20:00,-2,SMF,358,BUR
2001-02-17 09:15:00,-3,MDW,395,BNA
2001-02-20 16:15:00,5,PHX,935,TUL
2001-02-16 20:16:00,41,HOU,239,DAL
2001-01-05 18:15:00,1,MDW,251,STL
2001-02-27 17:40:00,-2,SJC,308,LAX
2001-03-10 15:05:00,-3,JAN,888,BWI
2001-01-30 12:32:00,68,LAS,256,PHX
2001-03-04 06:30:00,14,BNA,588,BWI
2001-03-23 06:00:00,-2,SNA,371,OAK
2001-03-07 19:24:00,40,MDW,838,MHT
2001-01-04 10:10:00,12,CMH,1772,LAS
2001-03-06 11:00:00,-6,ABQ,332,MAF
2001-03-27 14:15:00,-7,OAK,407,LAS
2001-02-17 07:00:00,-11,MCI,1140,LAS
2001-02-27 08:15:00,-10,IND,1814,LAX
2001-03-19 11:10:00,0,AUS,341,LBB
2001-02-07 07:00:00,-6,DAL,248,SAT
2001-02-03 07:25:00,-7,LAS,758,AMA
2001-03-20 05:30:00,-9,LAX,236,LAS
2001-01-02 11:39:00,1,DAL,239,HOU
2001-01-29 09:15:00,19,DAL,296,LIT
2001-01-21 14:55:00,-10,SJC,308,LAX
2001-03-17 12:15:00,0,MDW,251,STL
2001-02-21 08:40:00,7,OAK,180,RNO
2001-02-27 10:52:00,13,DAL,189,AUS
2001-01-28 08:25:00,-5,BNA,1588,LAS
2001-01-19 15:10:00,6,OAK,337,LAX
2001-01-18 12:05:00,-6,LAS,223,BUR
2001-02-02 06:25:00,-7,BWI,314,CLE
2001-02-05 16:30:00,-2,HOU,239,DAL
2001-03-22 08:43:00,15,ONT,325,PHX
2001-02-21 06:30:00,-10,LAS,345,RNO
2001-01-14 09:20:00,-4,BNA,588,BWI
2001-01-14 12:43:00,-12,STL,1262,PHX
2001-03-19 12:00:00,-4,MSY,303,HOU
